상품코드,상품명,가격,컬러,카테고리,메인카피,추천포인트1,추천포인트2,추천포인트3
GRA-S888,블랙 체인홀터 미디원피스,144000,블랙,MIDI,블랙 체인홀터 미디원피스입니다.,목선과 어깨 라인을 살려주는 홀터 디자인,단독으로도 포인트가 되는 프린트 디자인,차분하고 세련된 무드의 미디 기장
GRA-S889,레드 체인홀터 미디원피스,144000,레드,MIDI,레드 체인홀터 미디원피스입니다.,목선과 어깨 라인을 살려주는 홀터 디자인,단독으로도 포인트가 되는 프린트 디자인,차분하고 세련된 무드의 미디 기장
GRA-S890,아이보리 체인홀터 미디원피스,144000,아이보리,MIDI,아이보리 체인홀터 미디원피스입니다.,목선과 어깨 라인을 살려주는 홀터 디자인,단독으로도 포인트가 되는 프린트 디자인,차분하고 세련된 무드의 미디 기장
SEY-S907,아이보리 배색라인 플레어 원피스,135000,아이보리,MINI,아이보리 배색라인 플레어 원피스입니다.,움직일 때 라인이 예쁘게 퍼지는 플레어 실루엣,다리 라인을 경쾌하게 살려주는 미니 기장,
SEY-S908,블랙 배색라인 플레어 원피스,135000,블랙,MINI,블랙 배색라인 플레어 원피스입니다.,움직일 때 라인이 예쁘게 퍼지는 플레어 실루엣,다리 라인을 경쾌하게 살려주는 미니 기장,
SEY-S909,핑크 오프숄더 러플 원피스,135000,핑크,MINI,핑크 오프숄더 러플 원피스입니다.,어깨선을 여성스럽게 드러내는 오프숄더 라인,다리 라인을 경쾌하게 살려주는 미니 기장,
SEY-S910,블랙 오프숄더 러플 원피스,135000,블랙,MINI,블랙 오프숄더 러플 원피스입니다.,어깨선을 여성스럽게 드러내는 오프숄더 라인,다리 라인을 경쾌하게 살려주는 미니 기장,
SUN-S886,아이보리 쉬폰 플레어 원피스,135000,아이보리,MINI,아이보리 쉬폰 플레어 원피스입니다.,움직일 때 라인이 예쁘게 퍼지는 플레어 실루엣,다리 라인을 경쾌하게 살려주는 미니 기장,
SUN-S887,블랙 쉬폰 플레어 원피스,135000,블랙,MINI,블랙 쉬폰 플레어 원피스입니다.,움직일 때 라인이 예쁘게 퍼지는 플레어 실루엣,다리 라인을 경쾌하게 살려주는 미니 기장,
JINA-S878,핑크 브이넥 홀터 원피스,126000,핑크,MINI,핑크 브이넥 홀터 원피스입니다.,목선과 어깨 라인을 살려주는 홀터 디자인,다리 라인을 경쾌하게 살려주는 미니 기장,
JINA-S879,블랙 브이넥 홀터 원피스,126000,블랙,MINI,블랙 브이넥 홀터 원피스입니다.,목선과 어깨 라인을 살려주는 홀터 디자인,다리 라인을 경쾌하게 살려주는 미니 기장,
JINA-S880,아이보리 홀터 슬릿 미디원피스,131000,아이보리,MIDI,아이보리 홀터 슬릿 미디원피스입니다.,목선과 어깨 라인을 살려주는 홀터 디자인,차분하고 세련된 무드의 미디 기장,
JINA-S881,블랙 홀터 슬릿 미디원피스,131000,블랙,MIDI,블랙 홀터 슬릿 미디원피스입니다.,목선과 어깨 라인을 살려주는 홀터 디자인,차분하고 세련된 무드의 미디 기장,
JINA-S917,아이보리 프릴라인 미디원피스,126000,아이보리,MIDI,아이보리 프릴라인 미디원피스입니다.,차분하고 세련된 무드의 미디 기장,,
JINA-S918,블랙 프릴라인 미디원피스,126000,블랙,MIDI,블랙 프릴라인 미디원피스입니다.,차분하고 세련된 무드의 미디 기장,,
JINA-S919,아이보리 원숄더 드레이프 원피스,131000,아이보리,MINI,아이보리 원숄더 드레이프 원피스입니다.,바디 라인을 자연스럽게 잡아주는 셔링/드레이프 디테일,다리 라인을 경쾌하게 살려주는 미니 기장,
JINA-S920,핑크 원숄더 드레이프 원피스,131000,핑크,MINI,핑크 원숄더 드레이프 원피스입니다.,바디 라인을 자연스럽게 잡아주는 셔링/드레이프 디테일,다리 라인을 경쾌하게 살려주는 미니 기장,
TIA-S856,핀턱 나시탑,72000,아이보리/블랙,TOP,핀턱 나시탑입니다.,다양한 하의와 매치하기 좋은 포인트 상의,,
TIA-S857,플라워 매듭 나시탑,72000,아이보리/블랙,TOP,플라워 매듭 나시탑입니다.,다양한 하의와 매치하기 좋은 포인트 상의,,
TIA-S858,시퀸 쉬폰 나시 블라우스,63000,아이보리,TOP,시퀸 쉬폰 나시 블라우스입니다.,조명 아래 은은하게 빛나는 시퀸 포인트,다양한 하의와 매치하기 좋은 포인트 상의,
TIA-S859,플라워 미니 스커트,,네이비 / 블랙,SKIRT,플라워 미니 스커트입니다.,다리 라인을 경쾌하게 살려주는 미니 기장,,
TIA-S860,프릴 쉬폰 벨트 미니원피스,72000,블랙,MINI,프릴 쉬폰 벨트 미니원피스입니다.,다리 라인을 경쾌하게 살려주는 미니 기장,,
TIA-S861,플라워 쉬폰 캉캉 롱드레스,104000,오렌지,LONG,플라워 쉬폰 캉캉 롱드레스입니다.,우아하게 떨어지는 롱 실루엣,,
TIA-S862,아이보리 레이스 홀터 쉬폰 미니원피스,75000,아이보리,MINI,아이보리 레이스 홀터 쉬폰 미니원피스입니다.,목선과 어깨 라인을 살려주는 홀터 디자인,여성스러운 무드를 살려주는 레이스 포인트,다리 라인을 경쾌하게 살려주는 미니 기장
TIA-S863,블랙 레이스 홀터 쉬폰 미니원피스,75000,블랙,MINI,블랙 레이스 홀터 쉬폰 미니원피스입니다.,목선과 어깨 라인을 살려주는 홀터 디자인,여성스러운 무드를 살려주는 레이스 포인트,다리 라인을 경쾌하게 살려주는 미니 기장
TIA-S864,화이트 레이스 크롭 투피스,,아이보리,TWO PIECE,화이트 레이스 크롭 투피스입니다.,여성스러운 무드를 살려주는 레이스 포인트,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,
TIA-S865,블랙 레이스 크롭 투피스,,블랙,TWO PIECE,블랙 레이스 크롭 투피스입니다.,여성스러운 무드를 살려주는 레이스 포인트,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,
TIA-S866,화이트 플라워 코르셋 투피스,153000,아이보리,TWO PIECE,화이트 플라워 코르셋 투피스입니다.,상하의가 함께 구성되어 코디가 쉬운 투피스 구성,,
TIA-S867,그레이 셔링 홀터 미니원피스,54000,그레이,MINI,그레이 셔링 홀터 미니원피스입니다.,목선과 어깨 라인을 살려주는 홀터 디자인,바디 라인을 자연스럽게 잡아주는 셔링/드레이프 디테일,다리 라인을 경쾌하게 살려주는 미니 기장
TIA-S868,화이트 컷아웃 원숄더 미디원피스,153000,아이보리,MIDI,화이트 컷아웃 원숄더 미디원피스입니다.,차분하고 세련된 무드의 미디 기장,,
TIA-S869,블랙 컷아웃 원숄더 미디원피스,153000,블랙,MIDI,블랙 컷아웃 원숄더 미디원피스입니다.,차분하고 세련된 무드의 미디 기장,,
TIA-S870,아이보리 트위드 버튼 미니원피스,237000,아이보리,MINI,아이보리 트위드 버튼 미니원피스입니다.,고급스러운 분위기를 더하는 트위드 소재감,다리 라인을 경쾌하게 살려주는 미니 기장,
TIA-S871,민트 트위드 버튼 미니원피스,237000,민트,MINI,민트 트위드 버튼 미니원피스입니다.,고급스러운 분위기를 더하는 트위드 소재감,다리 라인을 경쾌하게 살려주는 미니 기장,
