상품코드,공개상품명,카테고리,컬러,사이즈,공개설명,태그,이미지수,대표이미지
GRA-S888,진주넥 슬림 미디원피스,MIDI,이미지 참고,55 / 66 / 77 / 88 문의,"진주넥 슬림 미디원피스입니다. 바디 라인을 자연스럽게 살려주면서 사진에 잘 잡히는 실루엣의 신상 원피스입니다. 파티룩, 클럽룩, 촬영룩, 모임룩으로 활용하기 좋습니다.","NEW,8월신상,MIDI,미디,파티룩,클럽룩,촬영룩,방송의상,원피스",8,assets/aug01/grace/GRA-S888_01.jpg
GRA-S889,홀터넥 슬림 미디원피스,MIDI,이미지 참고,55 / 66 / 77 / 88 문의,"홀터넥 슬림 미디원피스입니다. 바디 라인을 자연스럽게 살려주면서 사진에 잘 잡히는 실루엣의 신상 원피스입니다. 파티룩, 클럽룩, 촬영룩, 모임룩으로 활용하기 좋습니다.","NEW,8월신상,MIDI,미디,파티룩,클럽룩,촬영룩,방송의상,원피스",8,assets/aug01/grace/GRA-S889_01.jpg
GRA-S890,체인홀터 슬림 미디원피스,MIDI,이미지 참고,55 / 66 / 77 / 88 문의,"체인홀터 슬림 미디원피스입니다. 바디 라인을 자연스럽게 살려주면서 사진에 잘 잡히는 실루엣의 신상 원피스입니다. 파티룩, 클럽룩, 촬영룩, 모임룩으로 활용하기 좋습니다.","NEW,8월신상,MIDI,미디,파티룩,클럽룩,촬영룩,방송의상,원피스",8,assets/aug01/grace/GRA-S890_01.jpg
SEY-S907,배색라인 플레어 원피스,MINI,이미지 참고,55 / 66 / 77 / 88 문의,"배색라인 플레어 원피스입니다. 바디 라인을 자연스럽게 살려주면서 사진에 잘 잡히는 실루엣의 신상 원피스입니다. 파티룩, 클럽룩, 촬영룩, 모임룩으로 활용하기 좋습니다.","NEW,8월신상,MINI,미니,파티룩,클럽룩,촬영룩,방송의상,원피스",8,assets/aug01/seyun/SEY-S907_01.jpg
SEY-S908,배색라인 플레어 원피스,MINI,이미지 참고,55 / 66 / 77 / 88 문의,"배색라인 플레어 원피스입니다. 바디 라인을 자연스럽게 살려주면서 사진에 잘 잡히는 실루엣의 신상 원피스입니다. 파티룩, 클럽룩, 촬영룩, 모임룩으로 활용하기 좋습니다.","NEW,8월신상,MINI,미니,파티룩,클럽룩,촬영룩,방송의상,원피스",8,assets/aug01/seyun/SEY-S908_01.jpg
SEY-S909,퍼프러플 미니원피스,MINI,이미지 참고,55 / 66 / 77 / 88 문의,"퍼프러플 미니원피스입니다. 바디 라인을 자연스럽게 살려주면서 사진에 잘 잡히는 실루엣의 신상 원피스입니다. 파티룩, 클럽룩, 촬영룩, 모임룩으로 활용하기 좋습니다.","NEW,8월신상,MINI,미니,파티룩,클럽룩,촬영룩,방송의상,원피스",8,assets/aug01/seyun/SEY-S909_01.jpg
SEY-S910,오프숄더 러플 원피스,MINI,이미지 참고,55 / 66 / 77 / 88 문의,"오프숄더 러플 원피스입니다. 바디 라인을 자연스럽게 살려주면서 사진에 잘 잡히는 실루엣의 신상 원피스입니다. 파티룩, 클럽룩, 촬영룩, 모임룩으로 활용하기 좋습니다.","NEW,8월신상,MINI,미니,파티룩,클럽룩,촬영룩,방송의상,원피스",8,assets/aug01/seyun/SEY-S910_01.jpg
SUN-S886,레이어드 플레어 원피스,MINI,이미지 참고,S / M,"레이어드 플레어 원피스입니다. 바디 라인을 자연스럽게 살려주면서 사진에 잘 잡히는 실루엣의 신상 원피스입니다. 파티룩, 클럽룩, 촬영룩, 모임룩으로 활용하기 좋습니다.","NEW,8월신상,MINI,미니,파티룩,클럽룩,촬영룩,방송의상,원피스",9,assets/aug01/sunny/SUN-S886_01.jpg
SUN-S887,쉬폰 플레어 미니원피스,MINI,이미지 참고,S / M,"쉬폰 플레어 미니원피스입니다. 바디 라인을 자연스럽게 살려주면서 사진에 잘 잡히는 실루엣의 신상 원피스입니다. 파티룩, 클럽룩, 촬영룩, 모임룩으로 활용하기 좋습니다.","NEW,8월신상,MINI,미니,파티룩,클럽룩,촬영룩,방송의상,원피스",9,assets/aug01/sunny/SUN-S887_01.jpg
JINA-S878,브이넥 홀터 투피스,TWO PIECE,이미지 참고,55 / 66 / 77 / 88 문의,"브이넥 홀터 투피스입니다. 상의와 하의가 함께 구성되어 한 벌만으로도 완성도 있는 스타일을 연출하기 좋습니다. 파티룩, 촬영룩, 모임룩으로 활용하기 좋은 신상 셀렉션입니다.","NEW,8월신상,TWO PIECE,투피스,파티룩,클럽룩,촬영룩,방송의상,세트룩",8,assets/aug01/jina/JINA-S878_01.jpg
JINA-S879,브이넥 홀터 투피스,TWO PIECE,이미지 참고,55 / 66 / 77 / 88 문의,"브이넥 홀터 투피스입니다. 상의와 하의가 함께 구성되어 한 벌만으로도 완성도 있는 스타일을 연출하기 좋습니다. 파티룩, 촬영룩, 모임룩으로 활용하기 좋은 신상 셀렉션입니다.","NEW,8월신상,TWO PIECE,투피스,파티룩,클럽룩,촬영룩,방송의상,세트룩",8,assets/aug01/jina/JINA-S879_01.jpg
JINA-S880,원숄더 슬릿 원피스,MINI,이미지 참고,55 / 66 / 77 / 88 문의,"원숄더 슬릿 원피스입니다. 바디 라인을 자연스럽게 살려주면서 사진에 잘 잡히는 실루엣의 신상 원피스입니다. 파티룩, 클럽룩, 촬영룩, 모임룩으로 활용하기 좋습니다.","NEW,8월신상,MINI,미니,파티룩,클럽룩,촬영룩,방송의상,원피스",8,assets/aug01/jina/JINA-S880_01.jpg
JINA-S881,홀터 슬릿 원피스,MINI,이미지 참고,55 / 66 / 77 / 88 문의,"홀터 슬릿 원피스입니다. 바디 라인을 자연스럽게 살려주면서 사진에 잘 잡히는 실루엣의 신상 원피스입니다. 파티룩, 클럽룩, 촬영룩, 모임룩으로 활용하기 좋습니다.","NEW,8월신상,MINI,미니,파티룩,클럽룩,촬영룩,방송의상,원피스",8,assets/aug01/jina/JINA-S881_01.jpg
JINA-S917,프릴라인 슬릿 원피스,MINI,이미지 참고,55 / 66 / 77 / 88 문의,"프릴라인 슬릿 원피스입니다. 바디 라인을 자연스럽게 살려주면서 사진에 잘 잡히는 실루엣의 신상 원피스입니다. 파티룩, 클럽룩, 촬영룩, 모임룩으로 활용하기 좋습니다.","NEW,8월신상,MINI,미니,파티룩,클럽룩,촬영룩,방송의상,원피스",8,assets/aug01/jina/JINA-S917_01.jpg
JINA-S918,프릴라인 슬릿 원피스,MINI,이미지 참고,55 / 66 / 77 / 88 문의,"프릴라인 슬릿 원피스입니다. 바디 라인을 자연스럽게 살려주면서 사진에 잘 잡히는 실루엣의 신상 원피스입니다. 파티룩, 클럽룩, 촬영룩, 모임룩으로 활용하기 좋습니다.","NEW,8월신상,MINI,미니,파티룩,클럽룩,촬영룩,방송의상,원피스",8,assets/aug01/jina/JINA-S918_01.jpg
JINA-S919,원숄더 드레이프 원피스,MINI,이미지 참고,55 / 66 / 77 / 88 문의,"원숄더 드레이프 원피스입니다. 바디 라인을 자연스럽게 살려주면서 사진에 잘 잡히는 실루엣의 신상 원피스입니다. 파티룩, 클럽룩, 촬영룩, 모임룩으로 활용하기 좋습니다.","NEW,8월신상,MINI,미니,파티룩,클럽룩,촬영룩,방송의상,원피스",8,assets/aug01/jina/JINA-S919_01.jpg
