code,상품명,가격,컬러,카테고리,같은디자인그룹,포인트1,포인트2,추천문구
GRA-S888,블랙 체인홀터 미디원피스,144000,블랙,MIDI,AUG2026-01,목선을 길어 보이게 잡아주는 홀터넥,차분하고 고급스러운 분위기의 미디 기장,차분하지만 라인이 살아야 하는 자리에서 추천드립니다.
GRA-S889,레드 체인홀터 미디원피스,144000,레드,MIDI,AUG2026-01,목선을 길어 보이게 잡아주는 홀터넥,차분하고 고급스러운 분위기의 미디 기장,차분하지만 라인이 살아야 하는 자리에서 추천드립니다.
GRA-S890,아이보리 체인홀터 미디원피스,144000,아이보리,MIDI,AUG2026-01,목선을 길어 보이게 잡아주는 홀터넥,차분하고 고급스러운 분위기의 미디 기장,차분하지만 라인이 살아야 하는 자리에서 추천드립니다.
SEY-S907,아이보리 배색라인 플레어 원피스,135000,아이보리,MINI,AUG2026-11,전체 실루엣을 깔끔하게 잡아주는 디자인,사진과 영상에 잘 어울리는 포인트 스타일,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
SEY-S908,블랙 배색라인 플레어 원피스,135000,블랙,MINI,AUG2026-11,전체 실루엣을 깔끔하게 잡아주는 디자인,사진과 영상에 잘 어울리는 포인트 스타일,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
SEY-S909,핑크 오프숄더 러플 원피스,135000,핑크,MINI,AUG2026-12,어깨선을 드러내는 오프숄더 디자인,,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
SEY-S910,블랙 오프숄더 러플 원피스,135000,블랙,MINI,AUG2026-12,어깨선을 드러내는 오프숄더 디자인,,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
SUN-S886,아이보리 쉬폰 플레어 원피스,135000,아이보리,MINI,AUG2026-13,가볍게 흐르는 쉬폰 소재감,,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
SUN-S887,블랙 쉬폰 플레어 원피스,135000,블랙,MINI,AUG2026-13,가볍게 흐르는 쉬폰 소재감,,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
JINA-S878,핑크 브이넥 홀터 원피스,126000,핑크,MINI,AUG2026-04,목선을 길어 보이게 잡아주는 홀터넥,,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
JINA-S879,블랙 브이넥 홀터 원피스,126000,블랙,MINI,AUG2026-04,목선을 길어 보이게 잡아주는 홀터넥,,"가볍게 포인트를 주고 싶은 파티, 촬영, 모임 자리에서 활용하기 좋습니다."
JINA-S880,아이보리 홀터 슬릿 미디원피스,131000,아이보리,MIDI,AUG2026-05,목선을 길어 보이게 잡아주는 홀터넥,다리 라인을 살려주는 슬릿 포인트,차분하지만 라인이 살아야 하는 자리에서 추천드립니다.
JINA-S881,블랙 홀터 슬릿 미디원피스,131000,블랙,MIDI,AUG2026-05,목선을 길어 보이게 잡아주는 홀터넥,다리 라인을 살려주는 슬릿 포인트,차분하지만 라인이 살아야 하는 자리에서 추천드립니다.
JINA-S917,아이보리 프릴라인 미디원피스,126000,아이보리,MIDI,AUG2026-06,움직일 때 볼륨감이 살아나는 프릴 디테일,차분하고 고급스러운 분위기의 미디 기장,차분하지만 라인이 살아야 하는 자리에서 추천드립니다.
JINA-S918,블랙 프릴라인 미디원피스,126000,블랙,MIDI,AUG2026-06,움직일 때 볼륨감이 살아나는 프릴 디테일,차분하고 고급스러운 분위기의 미디 기장,차분하지만 라인이 살아야 하는 자리에서 추천드립니다.
