구분,상품코드,쇼룸상품명,스마트스토어명,판매가,전시/판매상태,배치메모
매칭,JES-384,로아 스트라이프 카라 슬림 미니원피스,로아 스트라이프 카라 슬림 미니원피스,75000,전시중/판매중,첫화면 SmartStore BEST
매칭,JES-381,엘린 소라 리본 트위드 미니원피스,엘린 소라 리본 트위드 미니원피스,75000,전시중/판매중,첫화면 SmartStore BEST
매칭,JES-380,셀린 블랙 레이스 카라 미니원피스,셀린 블랙 레이스 미니원피스,75000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,JES-365,로제 퍼프 크롭 플레어 미니원피스,로제 퍼프 크롭 플레어 원피스,75000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,N260033-PINK,도트 리본 델리 투피스,델리 버클 하이웨스트 미니 스커트,81000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,N260033,도트 리본 델리 투피스,도트 리본 블라우스,81000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,N260079,민트 셔링 크롭탑 플레어 투피스,민트 셔링 크롭탑과 플레어 투피스,154000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,N260093,오프숄더 프릴 미니투피스,화이트 러플 브이넥 크롭 투피스,154000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,N260035,넥리본 클래식 무드 블라우스,클래식 무드 플리츠 스커트 | 넥리본 클래식 무드 블라우스,76000 / 81000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,IMN-007,새틴드레이프 롱원피스,화이트 새틴드레이프 롱원피스 파티드레스,153000,전시중/판매중,첫화면 SmartStore BEST
매칭,IMN-006,시스루레이스 슬릿 롱원피스,화이트 시스루레이스 슬릿 롱원피스,153000,전시중/판매중,첫화면 SmartStore BEST
매칭,P045,세린 드레이프 비즈 롱세트,세린 드레이프 비즈 롱 투피스,253000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,P026,엘라 새틴리본 미니원피스,핑크 엘라 새틴리본 미니원피스 미니원피스 홀복 파티룩 클럽룩,135000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,P021,셀린 셔링 오프숄더 롱드레스,크림베이지 셀린 셔링 오프숄더 롱드레스 롱드레스 홀복 파티룩 무대의상,81000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,P019,셀린 홀터넥 머메이드 롱드레스,셀린 홀터넥 머메이드 롱드레스,81000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,S755,블랙 러플홀터 비즈 투피스,러플홀터 비즈 투피스 홀복 파티룩 클럽룩,107000,전시중/판매중,첫화면 SmartStore BEST
매칭,S754,핑크 러플홀터 비즈 투피스,핑크 러플홀터 비즈 투피스 홀복 파티룩 클럽룩,107000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,S692,블랙 오프숄더 러플버튼 원피스,블랙 오프숄더 러플버튼 원피스 홀복 파티룩 클럽룩,126000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,S691,핑크 오프숄더 러플버튼 원피스,핑크 오프숄더 러플버튼 원피스 홀복 파티룩 클럽룩,126000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,S680,소라 비즈크로스 홀터 원피스,소라 비즈크로스 홀터 원피스 홀복 파티룩 클럽룩,111000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,S679,핑크 비즈크로스 홀터 원피스,핑크 비즈크로스 홀터 원피스 홀복 파티룩 클럽룩,111000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,S678,아이보리 비즈크로스 홀터 원피스,아이보리 비즈크로스 홀터 원피스 홀복 파티룩 클럽룩,111000,전시중/판매중,첫화면 SmartStore BEST
매칭,N260204,아이보리 컷아웃 투피스,아이보리 컷아웃 투피스 홀복 파티룩 클럽룩,162000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,N260076,핑크 사각 요철 플레어 크롭 투피스,핑크 플레어 크롭 투피스 홀복 파티룩 클럽룩,153000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,N260044,핑크 라비앙 배색 새틴 미디원피스,핑크 라비앙 배색 새틴 미디원피스 미디원피스 홀복 파티룩 클럽룩,135000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,N260043,블랙 라비앙 배색 새틴 미디원피스,블랙 라비앙 배색 새틴 미디원피스 미디원피스 홀복 파티룩 클럽룩,135000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
매칭,N260039,벨라 레이스 버클 미니투피스,벨라 코르셋 후크 미니투피스,170000,전시중/판매중,첫화면 SmartStore BEST
매칭,N260038,리본 타이 오프숄더 미디원피스,아이보리 리본 타이 오프숄더 미디원피스,126000,전시중/판매중,스마트스토어 판매중 태그/우선순위 반영
