code,upload_status,showroom_ready,product_name,source_folder,reference_images,output_main_image,output_detail_image,prompt
HH-001,HOLD_DO_NOT_UPLOAD,NO,구찌top 민트,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\구찌top 민트,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\구찌top 민트\구찌top 민트11.jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\구찌top 민트\구찌top 민트09.jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\구찌top 민트\구찌top 민트10.jpg,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-001_구찌top 민트_main.png,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-001_구찌top 민트_detail.png,"Use case: product-mockup
Asset type: main product image for NICE Showroom upload
Primary request: Create a new original catalog photo of the fixed fictional AI model wearing this product. Use the source images only to understand garment color, silhouette, fabric, and key details; do not copy the original model, face, pose, room, mirror selfie, background, crop, or competitor styling.
Fixed model: use the same original adult Korean female AI model as ai_model_reference_v2_showroom-bg.png: shoulder-length dark brown soft-wave hair, elegant natural face, realistic slim proportions, calm boutique expression.
Product: 구찌top 민트, top or coordinated top look, cool pastel colorway.
Styling rule: keep the actual product's color, silhouette, fabric, and signature details accurate, but freely choose tasteful coordinating bottoms, shoes, and minimal accessories when they are not the core product. Remove or replace outerwear, cardigans, bags, jeans, jewelry, and original styling items unless they are clearly part of the product being sold. The final styling should make the main product easier to see than in the source photo.
Scene/backdrop: tasteful warm ivory Korean boutique showroom studio, softly blurred neutral clothing rack or curved wall detail in the distance, pale matte floor, subtle depth, clean negative space, no readable signs.
Style/medium: photorealistic premium Korean online boutique catalog photography.
Composition/framing: vertical 4:5 full-body or knee-up crop depending on product length, front 3/4 pose, garment clearly visible, no phone, no mirror.
Lighting/mood: soft diffused commercial studio lighting, accurate fabric texture, natural skin tone.
Constraints: original generated image only, no watermark, no text, no logos, no brand symbols, no exact copy of competitor photo, no extra people, no distorted hands.
Avoid: revealing or lingerie styling, celebrity resemblance, dramatic editorial scene, cluttered room, selfie angle."
HH-002,HOLD_DO_NOT_UPLOAD,NO,델핀bl 2,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\델핀bl 2,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\델핀bl 2\델핀bl 206.jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\델핀bl 2\델핀bl 207.jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\델핀bl 2\델핀bl 204.jpg,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-002_델핀bl 2_main.png,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-002_델핀bl 2_detail.png,"Use case: product-mockup
Asset type: main product image for NICE Showroom upload
Primary request: Create a new original catalog photo of the fixed fictional AI model wearing this product. Use the source images only to understand garment color, silhouette, fabric, and key details; do not copy the original model, face, pose, room, mirror selfie, background, crop, or competitor styling.
Fixed model: use the same original adult Korean female AI model as ai_model_reference_v2_showroom-bg.png: shoulder-length dark brown soft-wave hair, elegant natural face, realistic slim proportions, calm boutique expression.
Product: 델핀bl 2, blouse or coordinated blouse look, follow the reference garment silhouette, color, and fabric details.
Styling rule: keep the actual product's color, silhouette, fabric, and signature details accurate, but freely choose tasteful coordinating bottoms, shoes, and minimal accessories when they are not the core product. Remove or replace outerwear, cardigans, bags, jeans, jewelry, and original styling items unless they are clearly part of the product being sold. The final styling should make the main product easier to see than in the source photo.
Scene/backdrop: tasteful warm ivory Korean boutique showroom studio, softly blurred neutral clothing rack or curved wall detail in the distance, pale matte floor, subtle depth, clean negative space, no readable signs.
Style/medium: photorealistic premium Korean online boutique catalog photography.
Composition/framing: vertical 4:5 full-body or knee-up crop depending on product length, front 3/4 pose, garment clearly visible, no phone, no mirror.
Lighting/mood: soft diffused commercial studio lighting, accurate fabric texture, natural skin tone.
Constraints: original generated image only, no watermark, no text, no logos, no brand symbols, no exact copy of competitor photo, no extra people, no distorted hands.
Avoid: revealing or lingerie styling, celebrity resemblance, dramatic editorial scene, cluttered room, selfie angle."
HH-003,HOLD_DO_NOT_UPLOAD,NO,델핀bl W,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\델핀bl W,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\델핀bl W\델핀bl W10.jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\델핀bl W\델핀bl W04.jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\델핀bl W\델핀bl W07.jpg,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-003_델핀bl W_main.png,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-003_델핀bl W_detail.png,"Use case: product-mockup
Asset type: main product image for NICE Showroom upload
Primary request: Create a new original catalog photo of the fixed fictional AI model wearing this product. Use the source images only to understand garment color, silhouette, fabric, and key details; do not copy the original model, face, pose, room, mirror selfie, background, crop, or competitor styling.
Fixed model: use the same original adult Korean female AI model as ai_model_reference_v2_showroom-bg.png: shoulder-length dark brown soft-wave hair, elegant natural face, realistic slim proportions, calm boutique expression.
Product: 델핀bl W, blouse or coordinated blouse look, white or ivory colorway.
Styling rule: keep the actual product's color, silhouette, fabric, and signature details accurate, but freely choose tasteful coordinating bottoms, shoes, and minimal accessories when they are not the core product. Remove or replace outerwear, cardigans, bags, jeans, jewelry, and original styling items unless they are clearly part of the product being sold. The final styling should make the main product easier to see than in the source photo.
Scene/backdrop: tasteful warm ivory Korean boutique showroom studio, softly blurred neutral clothing rack or curved wall detail in the distance, pale matte floor, subtle depth, clean negative space, no readable signs.
Style/medium: photorealistic premium Korean online boutique catalog photography.
Composition/framing: vertical 4:5 full-body or knee-up crop depending on product length, front 3/4 pose, garment clearly visible, no phone, no mirror.
Lighting/mood: soft diffused commercial studio lighting, accurate fabric texture, natural skin tone.
Constraints: original generated image only, no watermark, no text, no logos, no brand symbols, no exact copy of competitor photo, no extra people, no distorted hands.
Avoid: revealing or lingerie styling, celebrity resemblance, dramatic editorial scene, cluttered room, selfie angle."
HH-004,HOLD_DO_NOT_UPLOAD,NO,델핀bl 블랙,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\델핀bl 블랙,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\델핀bl 블랙\델핀bl 블랙6.jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\델핀bl 블랙\델핀bl 블랙5.jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\델핀bl 블랙\델핀bl 블랙3.jpg,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-004_델핀bl 블랙_main.png,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-004_델핀bl 블랙_detail.png,"Use case: product-mockup
Asset type: main product image for NICE Showroom upload
Primary request: Create a new original catalog photo of the fixed fictional AI model wearing this product. Use the source images only to understand garment color, silhouette, fabric, and key details; do not copy the original model, face, pose, room, mirror selfie, background, crop, or competitor styling.
Fixed model: use the same original adult Korean female AI model as ai_model_reference_v2_showroom-bg.png: shoulder-length dark brown soft-wave hair, elegant natural face, realistic slim proportions, calm boutique expression.
Product: 델핀bl 블랙, blouse or coordinated blouse look, black colorway.
Styling rule: keep the actual product's color, silhouette, fabric, and signature details accurate, but freely choose tasteful coordinating bottoms, shoes, and minimal accessories when they are not the core product. Remove or replace outerwear, cardigans, bags, jeans, jewelry, and original styling items unless they are clearly part of the product being sold. The final styling should make the main product easier to see than in the source photo.
Scene/backdrop: tasteful warm ivory Korean boutique showroom studio, softly blurred neutral clothing rack or curved wall detail in the distance, pale matte floor, subtle depth, clean negative space, no readable signs.
Style/medium: photorealistic premium Korean online boutique catalog photography.
Composition/framing: vertical 4:5 full-body or knee-up crop depending on product length, front 3/4 pose, garment clearly visible, no phone, no mirror.
Lighting/mood: soft diffused commercial studio lighting, accurate fabric texture, natural skin tone.
Constraints: original generated image only, no watermark, no text, no logos, no brand symbols, no exact copy of competitor photo, no extra people, no distorted hands.
Avoid: revealing or lingerie styling, celebrity resemblance, dramatic editorial scene, cluttered room, selfie angle."
HH-005,HOLD_DO_NOT_UPLOAD,NO,레니리본bl,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\레니리본bl,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\레니리본bl\레니리본bl10.jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\레니리본bl\레니리본bl09.jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\레니리본bl\레니리본bl04.jpg,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-005_레니리본bl_main.png,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-005_레니리본bl_detail.png,"Use case: product-mockup
Asset type: main product image for NICE Showroom upload
Primary request: Create a new original catalog photo of the fixed fictional AI model wearing this product. Use the source images only to understand garment color, silhouette, fabric, and key details; do not copy the original model, face, pose, room, mirror selfie, background, crop, or competitor styling.
Fixed model: use the same original adult Korean female AI model as ai_model_reference_v2_showroom-bg.png: shoulder-length dark brown soft-wave hair, elegant natural face, realistic slim proportions, calm boutique expression.
Product: 레니리본bl, blouse or coordinated blouse look, ribbon detail.
Styling rule: keep the actual product's color, silhouette, fabric, and signature details accurate, but freely choose tasteful coordinating bottoms, shoes, and minimal accessories when they are not the core product. Remove or replace outerwear, cardigans, bags, jeans, jewelry, and original styling items unless they are clearly part of the product being sold. The final styling should make the main product easier to see than in the source photo.
Scene/backdrop: tasteful warm ivory Korean boutique showroom studio, softly blurred neutral clothing rack or curved wall detail in the distance, pale matte floor, subtle depth, clean negative space, no readable signs.
Style/medium: photorealistic premium Korean online boutique catalog photography.
Composition/framing: vertical 4:5 full-body or knee-up crop depending on product length, front 3/4 pose, garment clearly visible, no phone, no mirror.
Lighting/mood: soft diffused commercial studio lighting, accurate fabric texture, natural skin tone.
Constraints: original generated image only, no watermark, no text, no logos, no brand symbols, no exact copy of competitor photo, no extra people, no distorted hands.
Avoid: revealing or lingerie styling, celebrity resemblance, dramatic editorial scene, cluttered room, selfie angle."
HH-006,HOLD_DO_NOT_UPLOAD,NO,레오파드top 블랙,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\레오파드top 블랙,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\레오파드top 블랙\레오파드top 블랙21.jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\레오파드top 블랙\레오파드top 블랙11.jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\레오파드top 블랙\레오파드top 블랙12.jpg,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-006_레오파드top 블랙_main.png,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-006_레오파드top 블랙_detail.png,"Use case: product-mockup
Asset type: main product image for NICE Showroom upload
Primary request: Create a new original catalog photo of the fixed fictional AI model wearing this product. Use the source images only to understand garment color, silhouette, fabric, and key details; do not copy the original model, face, pose, room, mirror selfie, background, crop, or competitor styling.
Fixed model: use the same original adult Korean female AI model as ai_model_reference_v2_showroom-bg.png: shoulder-length dark brown soft-wave hair, elegant natural face, realistic slim proportions, calm boutique expression.
Product: 레오파드top 블랙, top or coordinated top look, black colorway, leopard pattern.
Styling rule: keep the actual product's color, silhouette, fabric, and signature details accurate, but freely choose tasteful coordinating bottoms, shoes, and minimal accessories when they are not the core product. Remove or replace outerwear, cardigans, bags, jeans, jewelry, and original styling items unless they are clearly part of the product being sold. The final styling should make the main product easier to see than in the source photo.
Scene/backdrop: tasteful warm ivory Korean boutique showroom studio, softly blurred neutral clothing rack or curved wall detail in the distance, pale matte floor, subtle depth, clean negative space, no readable signs.
Style/medium: photorealistic premium Korean online boutique catalog photography.
Composition/framing: vertical 4:5 full-body or knee-up crop depending on product length, front 3/4 pose, garment clearly visible, no phone, no mirror.
Lighting/mood: soft diffused commercial studio lighting, accurate fabric texture, natural skin tone.
Constraints: original generated image only, no watermark, no text, no logos, no brand symbols, no exact copy of competitor photo, no extra people, no distorted hands.
Avoid: revealing or lingerie styling, celebrity resemblance, dramatic editorial scene, cluttered room, selfie angle."
HH-007,HOLD_DO_NOT_UPLOAD,NO,레이스top,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\레이스top,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\레이스top\레이스top16.jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\레이스top\레이스top15.jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\레이스top\레이스top10.jpg,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-007_레이스top_main.png,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-007_레이스top_detail.png,"Use case: product-mockup
Asset type: main product image for NICE Showroom upload
Primary request: Create a new original catalog photo of the fixed fictional AI model wearing this product. Use the source images only to understand garment color, silhouette, fabric, and key details; do not copy the original model, face, pose, room, mirror selfie, background, crop, or competitor styling.
Fixed model: use the same original adult Korean female AI model as ai_model_reference_v2_showroom-bg.png: shoulder-length dark brown soft-wave hair, elegant natural face, realistic slim proportions, calm boutique expression.
Product: 레이스top, top or coordinated top look, lace texture.
Styling rule: keep the actual product's color, silhouette, fabric, and signature details accurate, but freely choose tasteful coordinating bottoms, shoes, and minimal accessories when they are not the core product. Remove or replace outerwear, cardigans, bags, jeans, jewelry, and original styling items unless they are clearly part of the product being sold. The final styling should make the main product easier to see than in the source photo.
Scene/backdrop: tasteful warm ivory Korean boutique showroom studio, softly blurred neutral clothing rack or curved wall detail in the distance, pale matte floor, subtle depth, clean negative space, no readable signs.
Style/medium: photorealistic premium Korean online boutique catalog photography.
Composition/framing: vertical 4:5 full-body or knee-up crop depending on product length, front 3/4 pose, garment clearly visible, no phone, no mirror.
Lighting/mood: soft diffused commercial studio lighting, accurate fabric texture, natural skin tone.
Constraints: original generated image only, no watermark, no text, no logos, no brand symbols, no exact copy of competitor photo, no extra people, no distorted hands.
Avoid: revealing or lingerie styling, celebrity resemblance, dramatic editorial scene, cluttered room, selfie angle."
HH-008,HOLD_DO_NOT_UPLOAD,NO,로사bl,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\로사bl,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\로사bl\로사bl06 (1).jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\로사bl\로사bl09.jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\로사bl\로사bl05 (1).jpg,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-008_로사bl_main.png,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-008_로사bl_detail.png,"Use case: product-mockup
Asset type: main product image for NICE Showroom upload
Primary request: Create a new original catalog photo of the fixed fictional AI model wearing this product. Use the source images only to understand garment color, silhouette, fabric, and key details; do not copy the original model, face, pose, room, mirror selfie, background, crop, or competitor styling.
Fixed model: use the same original adult Korean female AI model as ai_model_reference_v2_showroom-bg.png: shoulder-length dark brown soft-wave hair, elegant natural face, realistic slim proportions, calm boutique expression.
Product: 로사bl, blouse or coordinated blouse look, follow the reference garment silhouette, color, and fabric details.
Styling rule: keep the actual product's color, silhouette, fabric, and signature details accurate, but freely choose tasteful coordinating bottoms, shoes, and minimal accessories when they are not the core product. Remove or replace outerwear, cardigans, bags, jeans, jewelry, and original styling items unless they are clearly part of the product being sold. The final styling should make the main product easier to see than in the source photo.
Scene/backdrop: tasteful warm ivory Korean boutique showroom studio, softly blurred neutral clothing rack or curved wall detail in the distance, pale matte floor, subtle depth, clean negative space, no readable signs.
Style/medium: photorealistic premium Korean online boutique catalog photography.
Composition/framing: vertical 4:5 full-body or knee-up crop depending on product length, front 3/4 pose, garment clearly visible, no phone, no mirror.
Lighting/mood: soft diffused commercial studio lighting, accurate fabric texture, natural skin tone.
Constraints: original generated image only, no watermark, no text, no logos, no brand symbols, no exact copy of competitor photo, no extra people, no distorted hands.
Avoid: revealing or lingerie styling, celebrity resemblance, dramatic editorial scene, cluttered room, selfie angle."
HH-009,HOLD_DO_NOT_UPLOAD,NO,로에베opsB,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\로에베opsB,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\로에베opsB\로에베opsB05.jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\로에베opsB\로에베opsB07.jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\로에베opsB\로에베opsB01.jpg,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-009_로에베opsB_main.png,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-009_로에베opsB_detail.png,"Use case: product-mockup
Asset type: main product image for NICE Showroom upload
Primary request: Create a new original catalog photo of the fixed fictional AI model wearing this product. Use the source images only to understand garment color, silhouette, fabric, and key details; do not copy the original model, face, pose, room, mirror selfie, background, crop, or competitor styling.
Fixed model: use the same original adult Korean female AI model as ai_model_reference_v2_showroom-bg.png: shoulder-length dark brown soft-wave hair, elegant natural face, realistic slim proportions, calm boutique expression.
Product: 로에베opsB, one-piece dress, black colorway.
Styling rule: keep the actual product's color, silhouette, fabric, and signature details accurate, but freely choose tasteful coordinating bottoms, shoes, and minimal accessories when they are not the core product. Remove or replace outerwear, cardigans, bags, jeans, jewelry, and original styling items unless they are clearly part of the product being sold. The final styling should make the main product easier to see than in the source photo.
Scene/backdrop: tasteful warm ivory Korean boutique showroom studio, softly blurred neutral clothing rack or curved wall detail in the distance, pale matte floor, subtle depth, clean negative space, no readable signs.
Style/medium: photorealistic premium Korean online boutique catalog photography.
Composition/framing: vertical 4:5 full-body or knee-up crop depending on product length, front 3/4 pose, garment clearly visible, no phone, no mirror.
Lighting/mood: soft diffused commercial studio lighting, accurate fabric texture, natural skin tone.
Constraints: original generated image only, no watermark, no text, no logos, no brand symbols, no exact copy of competitor photo, no extra people, no distorted hands.
Avoid: revealing or lingerie styling, celebrity resemblance, dramatic editorial scene, cluttered room, selfie angle."
HH-010,HOLD_DO_NOT_UPLOAD,NO,로에베opsW,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\로에베opsW,C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\로에베opsW\로에베opsW07.jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\로에베opsW\로에베opsW17.jpg | C:\Users\UserK\Documents\GitHub\sunny2026ss\source\highheel\하이힐\로에베opsW\로에베opsW05.jpg,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-010_로에베opsW_main.png,C:\Users\UserK\Documents\GitHub\sunny2026ss\outputs\highheel_ai_model\HH-010_로에베opsW_detail.png,"Use case: product-mockup
Asset type: main product image for NICE Showroom upload
Primary request: Create a new original catalog photo of the fixed fictional AI model wearing this product. Use the source images only to understand garment color, silhouette, fabric, and key details; do not copy the original model, face, pose, room, mirror selfie, background, crop, or competitor styling.
Fixed model: use the same original adult Korean female AI model as ai_model_reference_v2_showroom-bg.png: shoulder-length dark brown soft-wave hair, elegant natural face, realistic slim proportions, calm boutique expression.
Product: 로에베opsW, one-piece dress, white or ivory colorway.
Styling rule: keep the actual product's color, silhouette, fabric, and signature details accurate, but freely choose tasteful coordinating bottoms, shoes, and minimal accessories when they are not the core product. Remove or replace outerwear, cardigans, bags, jeans, jewelry, and original styling items unless they are clearly part of the product being sold. The final styling should make the main product easier to see than in the source photo.
Scene/backdrop: tasteful warm ivory Korean boutique showroom studio, softly blurred neutral clothing rack or curved wall detail in the distance, pale matte floor, subtle depth, clean negative space, no readable signs.
Style/medium: photorealistic premium Korean online boutique catalog photography.
Composition/framing: vertical 4:5 full-body or knee-up crop depending on product length, front 3/4 pose, garment clearly visible, no phone, no mirror.
Lighting/mood: soft diffused commercial studio lighting, accurate fabric texture, natural skin tone.
Constraints: original generated image only, no watermark, no text, no logos, no brand symbols, no exact copy of competitor photo, no extra people, no distorted hands.
Avoid: revealing or lingerie styling, celebrity resemblance, dramatic editorial scene, cluttered room, selfie angle."
