code,name,collection,priority,note
S939-PINK,핑크 플로럴 코르셋 크롭탑,AUGUST_NEW,9900,기존 8월 신상 섹션(AUGUST_NEW) 반영 / 상위 노출 priority 적용
S939-BLACK,블랙 플로럴 코르셋 크롭탑,AUGUST_NEW,9899,기존 8월 신상 섹션(AUGUST_NEW) 반영 / 상위 노출 priority 적용
S940-WHITE,화이트 브이넥 퍼프 크롭 블라우스,AUGUST_NEW,9898,기존 8월 신상 섹션(AUGUST_NEW) 반영 / 상위 노출 priority 적용
S940-YELLOW,옐로우 브이넥 퍼프 크롭 블라우스,AUGUST_NEW,9897,기존 8월 신상 섹션(AUGUST_NEW) 반영 / 상위 노출 priority 적용
S941-PINK,핑크 러플 리본 버튼 블라우스,AUGUST_NEW,9896,기존 8월 신상 섹션(AUGUST_NEW) 반영 / 상위 노출 priority 적용
S941-RED,와인 레드 러플 리본 버튼 블라우스,AUGUST_NEW,9895,기존 8월 신상 섹션(AUGUST_NEW) 반영 / 상위 노출 priority 적용
S942,아이보리 로즈러플 시스루 뷔스티에탑,AUGUST_NEW,9894,기존 8월 신상 섹션(AUGUST_NEW) 반영 / 상위 노출 priority 적용
S943-BLACK,블랙 하트넥 코르셋 뷔스티에탑,AUGUST_NEW,9893,기존 8월 신상 섹션(AUGUST_NEW) 반영 / 상위 노출 priority 적용
S943-GRAY,그레이 하트넥 코르셋 뷔스티에탑,AUGUST_NEW,9892,기존 8월 신상 섹션(AUGUST_NEW) 반영 / 상위 노출 priority 적용
S944-BLACK,블랙 슬림핏 테일러드 자켓,AUGUST_NEW,9891,기존 8월 신상 섹션(AUGUST_NEW) 반영 / 상위 노출 priority 적용
S944-WHITE,화이트 슬림핏 테일러드 자켓,AUGUST_NEW,9890,기존 8월 신상 섹션(AUGUST_NEW) 반영 / 상위 노출 priority 적용
S945-WHITE,화이트 새틴 셔링 랩 미디스커트,AUGUST_NEW,9889,기존 8월 신상 섹션(AUGUST_NEW) 반영 / 상위 노출 priority 적용
S945-PINK,핑크 새틴 셔링 랩 미디스커트,AUGUST_NEW,9888,기존 8월 신상 섹션(AUGUST_NEW) 반영 / 상위 노출 priority 적용
S945-SORA,소라 새틴 셔링 랩 미디스커트,AUGUST_NEW,9887,기존 8월 신상 섹션(AUGUST_NEW) 반영 / 상위 노출 priority 적용
S945-BLACK,블랙 새틴 셔링 랩 미디스커트,AUGUST_NEW,9886,기존 8월 신상 섹션(AUGUST_NEW) 반영 / 상위 노출 priority 적용
S946-IVORY,아이보리 플라워 자수 미니스커트,AUGUST_NEW,9885,기존 8월 신상 섹션(AUGUST_NEW) 반영 / 상위 노출 priority 적용
S946-PINK,핑크 플라워 자수 미니스커트,AUGUST_NEW,9884,기존 8월 신상 섹션(AUGUST_NEW) 반영 / 상위 노출 priority 적용
S946-SORA,소라 플라워 자수 미니스커트,AUGUST_NEW,9883,기존 8월 신상 섹션(AUGUST_NEW) 반영 / 상위 노출 priority 적용
