체크번호,매칭된상품코드,현재상품명,거래처명,거래처상품번호,현재카테고리,현재색상,대표이미지,NEW태그현재여부,우선노출현재여부,수정제안_NEW태그,수정제안_priority,수정제안_mainDisplay,수정제안_featured,매칭신뢰도,확인필요사항,검수상태
Jessica.J 304,JES-304,배색라인 스퀘어넥 버튼 원피스,제시카,Jessica.J 304,MINI,블랙,assets/JES-304_02.jpg,Y,N,"NEW, 제시카신상, 2026봄신상",10,True,True,높음: JES 코드 직접 매칭,승인 후 pending 기준 반영,확인필요
Jessica.J 306,JES-306,스카이 카라 퍼프 원피스,제시카,Jessica.J 306,MINI,스카이블루,assets/JES-306_02.jpg,Y,N,"NEW, 제시카신상, 2026봄신상",10,True,True,높음: JES 코드 직접 매칭,승인 후 pending 기준 반영,확인필요
Jessica.J 308,JES-308,오프숄더 프릴 플레어 원피스,제시카,Jessica.J 308,MINI,블랙,assets/JES-308_02.jpg,Y,N,"NEW, 제시카신상, 2026봄신상",10,True,True,높음: JES 코드 직접 매칭,승인 후 pending 기준 반영,확인필요
Jessica.J 309,JES-309,사이드셔링 머메이드 원피스,제시카,Jessica.J 309,MINI,베이지,assets/JES-309_02.jpg,Y,N,"NEW, 제시카신상, 2026봄신상",10,True,True,높음: JES 코드 직접 매칭,승인 후 pending 기준 반영,확인필요
Jessica.J 310,JES-310,프릴랩 벨트 원피스,제시카,Jessica.J 310,MINI,화이트,assets/JES-310_02.jpg,Y,N,"NEW, 제시카신상, 2026봄신상",10,True,True,높음: JES 코드 직접 매칭,승인 후 pending 기준 반영,확인필요
Jessica.J 311,JES-311,로즈리본 원피스,제시카,Jessica.J 311,MINI,핑크+레드,assets/JES-311_02.jpg,Y,N,"NEW, 제시카신상, 2026봄신상",10,True,True,높음: JES 코드 직접 매칭,승인 후 pending 기준 반영,확인필요
Jessica.J 312,JES-312,버튼 머메이드 원피스,제시카,Jessica.J 312,MINI,블랙,assets/JES-312_02.jpg,Y,N,"NEW, 제시카신상, 2026봄신상",10,True,True,높음: JES 코드 직접 매칭,승인 후 pending 기준 반영,확인필요
Jessica.J 313,JES-313,레몬 니트탑 원피스,제시카,Jessica.J 313,MINI,레몬+네이비,assets/JES-313_02.jpg,Y,N,"NEW, 제시카신상, 2026봄신상",10,True,True,높음: JES 코드 직접 매칭,승인 후 pending 기준 반영,확인필요
Jessica.J 315,JES-315,리본 플레어 원피스,제시카,Jessica.J 315,MINI,화이트+그레이,assets/JES-315_02.jpg,Y,N,"NEW, 제시카신상, 2026봄신상",10,True,True,높음: JES 코드 직접 매칭,승인 후 pending 기준 반영,확인필요
Jessica.J 316,JES-316,더블버튼 원피스,제시카,Jessica.J 316,MINI,레드,assets/JES-316_02.jpg,Y,N,"NEW, 제시카신상, 2026봄신상",10,True,True,높음: JES 코드 직접 매칭,승인 후 pending 기준 반영,확인필요
