candidateId,targetCode,targetName,topCode,bottomCode,topColor,bottomColor,colorMatch,lengthMatch,detailMatch,fabricMatch,silhouetteMatch,materialMatch,corePassCount,hardFail,hardFailReasons,autoDecision,realityScore,status,reviewPriority,memo,humanReviewMemo,promptPath,draftImagePath,approvedImagePath
S939_N260195_model_draft_02,S939,프린트 배색 뷔스티에 탑,S939,N260195,핑크,아이보리,O,O,O,△,O,△,4,false,,승인 가능,4,승인 후보,3,하의가 실물보다 길어지지 않았는지와 프린트 배색·허리 버클·원단 광택을 최종 확인.,하의가 실물보다 길어지지 않았는지와 프린트 배색·허리 버클·원단 광택을 최종 확인.,prompts/S939_N260195_model_draft_02.txt,output/drafts/S939_N260195_model_draft_02.png,
S940_S729_vendorref_01,S940,브이넥 랩 크롭 탑,S940,S729,화이트,블랙,X,O,O,O,O,O,3,true,colorMatch=X; inventedColor,즉시 탈락,3,재생성,,기존 후보는 실제와 다른 스커트 컬러로 즉시 탈락. 블랙 스커트로 재생성.,기존 후보는 실제와 다른 스커트 컬러로 즉시 탈락. 블랙 스커트로 재생성.,prompts/S940_S729.txt,output/drafts/S940_S729_vendorref_01.png,
S940_S729_model_draft_02,S940,브이넥 랩 크롭 탑,S940,S729,화이트,블랙,O,O,△,△,O,△,3,false,,조건부 승인 가능,5,조건부 승인 후보,1,A안. 정면 전신 메인컷과 배색·비율·배경은 우수. 상의 원단 텍스처와 하의 포켓·버튼·절개·플리츠 위치를 실제 제품과 추가 대조 후 최종 승인 권장.,A안. 정면 전신 메인컷과 배색·비율·배경은 우수. 상의 원단 텍스처와 하의 포켓·버튼·절개·플리츠 위치를 실제 제품과 추가 대조 후 최종 승인 권장.,prompts/S940_S729_model_draft_02.txt,output/drafts/S940_S729_model_draft_02.png,
S941_N260007_model_draft_01,S941,프릴 오프숄더 탑,S941,N260007,연핑크,블랙,X,△,△,△,△,△,0,true,colorMatch=X; inventedColor,즉시 탈락,2,재생성,,핑크 하의가 생성되어 폐기. N260007 블랙 튤/샤 스커트와 허리 리본/밴딩 디테일을 강제하여 재생성.,핑크 하의가 생성되어 폐기. N260007 블랙 튤/샤 스커트와 허리 리본/밴딩 디테일을 강제하여 재생성.,prompts/S941_N260007_model_draft_01.txt,,
S941_N260007_model_draft_03,S941,프릴 오프숄더 탑,S941,N260007,연핑크,블랙,O,O,△,O,O,O,3,false,,조건부 승인 가능,4,보완 후 승인 후보,2,B안. 판매용 감성과 튤 볼륨은 우수. 상의 프릴 폭·리본 크기·진주 단추 간격과 하의 튤 레이어의 실제 일치도를 한 번 더 보정 권장.,B안. 판매용 감성과 튤 볼륨은 우수. 상의 프릴 폭·리본 크기·진주 단추 간격과 하의 튤 레이어의 실제 일치도를 한 번 더 보정 권장.,prompts/S941_N260007.txt,output/drafts/S941_N260007_model_draft_03.png,
S942_TIA-S799_vendorref_01,S942,펄 러플 슬리브리스 탑,S942,S799,아이보리,블랙,X,X,X,X,X,X,0,true,colorMatch=X; detailMatch=X; garmentTypeChanged; missingKeyDetail; oversimplifiedProduct,즉시 탈락,1,reference 재선정,,기존 vendor reference 탈락. TIA-S799_07.jpg를 실제 블랙 미니 스커트 reference 후보로 지정했으나 승인 전 model draft 생성 금지.,기존 vendor reference 탈락. TIA-S799_07.jpg를 실제 블랙 미니 스커트 reference 후보로 지정했으나 승인 전 model draft 생성 금지.,,,
S943_S800_model_draft_02,S943,배색 컵라인 슬림 탑,S943,S800,블랙,화이트,O,O,O,O,O,O,4,false,,승인 가능,4,승인 후보,4,그레이·소라톤을 제외하고 실제 블랙+화이트 조합과 하의 길이·포인트 디테일 유지.,그레이·소라톤을 제외하고 실제 블랙+화이트 조합과 하의 길이·포인트 디테일 유지.,prompts/S943_S800_model_draft_02.txt,output/drafts/S943_TIA-S800_model_draft_02.png,
S944,S944,작업 제외,,S944,,,,,,,,,,false,,상태 유지,,제외,,작업지시서에 따라 제외.,작업지시서에 따라 제외.,,,
S945,S945,드레이프 랩 미니 스커트,,S945,,,,,,,,,,false,,상태 유지,,보류,,상의 조합 확정 대기.,상의 조합 확정 대기.,,,
S946,S946,스팽글 미니 스커트,,S946,,,,,,,,,,false,,상태 유지,,보류,,상의 조합 확정 대기.,상의 조합 확정 대기.,,,
